URL;Label;Class;Importation;Wiki;Dbpedia;Web;Définition;Synonyme;Voir;JLMonfort
http://isi.cbs.nl/glossary/term1677.htm;écart interdécile;EcartInterdecile;Concept;;;http://public.iutenligne.net/mathematiques/statistiques-et-probabilites/paronneau/resume-serie-stat/lcart_interdcile.html;;;;
http://isi.cbs.nl/glossary/term1146.htm;amplitude à réduire l'erreur;AmplitudeAReduireLerreur;Non;;;;En statistiques, l’écart interquartile1 ou étendue interquartile2 (EI) est une mesure de dispersion qui s'obtient en faisant la différence entre le troisième et le premier quartile;;;
http://isi.cbs.nl/glossary/term1073.htm;amplitude effective;AmplitudeEffective;Non;;;;;;;
http://isi.cbs.nl/glossary/term1685.htm;écart interquartile;EcartInterquartile;Concept;https://fr.wikipedia.org/wiki/%C3%89cart_interquartile;http://fr.dbpedia.org/page/%C3%89cart_interquartile;;;;;http://jeanalain.monfort.free.fr/Dicostat2005/D/Deviation_interquartile.pdf
http://isi.cbs.nl/glossary/term2663.htm;amplitude semi-interquartile;AmplitudeSemiInterquartile;Non;;;;;;;
http://isi.cbs.nl/glossary/term1693.htm;analyse à l'intérieur des blocs;AnalyseALinterieurDesBlocs;Non;;;;;;;
http://isi.cbs.nl/glossary/term2225.htm;analyse à plusieurs variables;AnalyseAPlusieursVariables;Non;;;;;;;
http://isi.cbs.nl/glossary/term214.htm;écart moyen;EcartMoyen;Concept;https://fr.wikipedia.org/wiki/%C3%89cart_moyen;http://fr.dbpedia.org/page/%C3%89cart_moyen;;;;;http://jeanalain.monfort.free.fr/Dicostat2005/E/Ecart_absolu_moyen.pdf
http://isi.cbs.nl/glossary/term717.htm;analyse confirmative des données;AnalyseConfirmativeDesDonnees;Non;;;;;;;
http://isi.cbs.nl/glossary/term717.htm;analyse confirmative des facteurs;AnalyseConfirmativeDesFacteurs;Non;;;;;;;
http://isi.cbs.nl/glossary/term718.htm;analyse confluentielle;AnalyseConfluentielle;Non;;;;;;;
http://isi.cbs.nl/glossary/term1732.htm;analyse d'article;AnalyseDarticle;Non;;;;;;;
http://isi.cbs.nl/glossary/term162.htm;analyse d'association;AnalyseDassociation;Non;;;;;;;
http://isi.cbs.nl/glossary/term2569.htm;analyse de coordonnées principales;AnalyseDeCoordonneesPrincipales;Non;;;;;;;
